source_path,package_path,size_bytes,modified_time,reason_selected
D:\GIA\3rd Up\DepthAnything\Depth-Anything-V2\img2pointclouds.py,scripts\depth\img2pointclouds.py,24437,2026-08-28T04:06:54,Final image/depth to Rhino-convention pseudo-3D point-cloud utility
D:\GIA\3rd Up\DepthAnything\Depth-Anything-V2\build_dataset.py,scripts\depth\build_dataset.py,16083,2026-08-28T04:35:27,RGB to canonical Depth Anything scene dataset builder
D:\GIA\3rd Up\DepthAnything\Depth-Anything-V2\corpus_depth.py,scripts\depth\corpus_depth.py,4651,2026-08-31T07:37:41,Resumable final corpus Depth Anything worker
D:\GIA\3rd Up\DepthAnything\Depth-Anything-V2\street_parser_v1.py,scripts\parsing\street_parser_v1.py,27658,2026-08-31T05:14:04,Frozen final multi-label street parser V1
D:\GIA\3rd Up\DepthAnything\Depth-Anything-V2\corpus_core.py,scripts\corpus\corpus_core.py,12631,2026-08-31T07:43:25,"Shared final corpus inventory, validation and split primitives"
D:\GIA\3rd Up\DepthAnything\Depth-Anything-V2\corpus_ingest.py,scripts\corpus\corpus_ingest.py,3112,2026-08-31T06:01:44,Idempotent canonical corpus ingestion
D:\GIA\3rd Up\DepthAnything\Depth-Anything-V2\corpus_pipeline.py,scripts\corpus\corpus_pipeline.py,3639,2026-08-31T11:13:39,Resumable/shardable final 604-scene parser orchestration
D:\GIA\3rd Up\DepthAnything\Depth-Anything-V2\analyze_corpus.py,scripts\corpus\analyze_corpus.py,7500,2026-08-31T07:02:53,Canonical corpus analysis/reporting utility
D:\GIA\3rd Up\DepthAnything\Depth-Anything-V2\core_channel_qa.py,scripts\corpus\core_channel_qa.py,9588,2026-08-31T16:31:20,Independent non-destructive training-channel QA layer
D:\GIA\3rd Up\DepthAnything\Depth-Anything-V2\build_taiwan_zip_spatial_v2.py,scripts\dataset\build_taiwan_zip_spatial_v2.py,11215,2026-08-31T20:22:32,Final identified Spatial V2 dataset builder
D:\GIA\3rd Up\DepthAnything\Depth-Anything-V2\validate_training_export.py,scripts\dataset\validate_training_export.py,1086,2026-08-31T06:03:33,Training export schema and leakage validator
D:\GIA\3rd Up\DepthAnything\Depth-Anything-V2\taiwan_zip_colab_train.py,scripts\training\taiwan_zip_colab_train.py,12304,2026-08-31T18:03:44,Closest identified Spatial VAE trainer candidate; prototype-path caveat documented
D:\GIA\3rd Up\DepthAnything\Depth-Anything-V2\taiwan_zip_generated_to_ply.py,scripts\export\taiwan_zip_generated_to_ply.py,11077,2026-08-31T21:11:56,Final generated depth/semantic state to PLY/XYZ exporter
D:\GIA\3rd Up\DepthAnything\Depth-Anything-V2\render_taiwan_zip_v6_3_final.py,scripts\export\render_taiwan_zip_v6_3_final.py,37817,2026-09-01T00:31:01,Latest final presentation renderer found locally
D:\GIA\3rd Up\DepthAnything\Depth-Anything-V2\taiwan_streetscape_finder_v2_2.py,scripts\corpus\curation\taiwan_streetscape_finder_v2_2.py,49954,2026-08-31T06:27:56,Latest final scalable corpus discovery tool
D:\GIA\3rd Up\DepthAnything\Depth-Anything-V2\screen_taiwan_streetscape_candidates_v2.py,scripts\corpus\curation\screen_taiwan_streetscape_candidates_v2.py,21938,2026-08-31T07:41:42,Final multi-axis CLIP candidate screening stage
D:\GIA\3rd Up\DepthAnything\Depth-Anything-V2\reclassify_taiwan_streetscape_v2_1.py,scripts\corpus\curation\reclassify_taiwan_streetscape_v2_1.py,12991,2026-08-31T07:49:28,Final transparent screening decision layer
D:\GIA\3rd Up\DepthAnything\Depth-Anything-V2\review_streetscape_corpus.py,scripts\corpus\curation\review_streetscape_corpus.py,17945,2026-08-31T10:18:26,Final CSV-truth manual corpus review utility
D:\GIA\3rd Up\DepthAnything\Depth-Anything-V2\clean_scene_outputs.py,scripts\utilities\clean_scene_outputs.py,5638,2026-08-30T02:29:08,Dry-run-first generated scene-output cleanup utility
D:\GIA\3rd Up\DepthAnything\Depth-Anything-V2\validate_scene.py,scripts\utilities\validate_scene.py,926,2026-08-31T06:00:54,Canonical scene validation utility
D:\GIA\3rd Up\DepthAnything\Depth-Anything-V2\TRAINING_CHANNEL_POLICY_V1.json,configs\TRAINING_CHANNEL_POLICY_V1.json,4477,2026-08-31T07:33:32,Frozen core training-channel policy
